"Position","Job Title","Company","Location","Salary","Short Description","Posted At","Job link"
21,"Data Scientist- Load Forecasting","Xcel Energy","Denver, CO 80202 
(Union Station area)","$105,200 - $150,000 a year","This position is eligible for the following benefits: Annual Incentive Program, Medical/Pharmacy Plan, Dental, Vision, Life Insurance, Dependent Care…",,"https://www.indeed.com/rc/clk?jk=1fd06b5568c4e627&bb=sxOnV6pfw48jKWs4G3DltfxxHTwA_jRswOkKUGZ-qR3riav1UAtPPznUEhF_KGDaZJgE0DoufcuOMMeVgYERRPMxzwPHrvdwRWq28BrulQ2Q4grm69bFEQ%3D%3D&xkcb=SoBV67M39QgD5lw36J0ObzkdCdPP&fccid=0b3490f8005058ec&vjs=3"
22,"Clinical Data Scientist","IQVIA","Remote",,"Collaborate with other scientists and engineers to leverage machine learning methods and algorithms for modeling and analysis of clinical operations and…",,"https://www.indeed.com/rc/clk?jk=e45e0ec028e3dbb7&bb=sxOnV6pfw48jKWs4G3DltV8qbZ2BcKQiNhYLwHW99SI4wE6IgbLKZIeZo3l2Lc3sfjno6Eqaggn-_Txu7ffGDH_Sdjg92OV8Eo63yTEfryNwoW8odBBxgI2_-PtRlIfI&xkcb=SoDI67M39QgD5lw36J0NbzkdCdPP&fccid=6b7a1dfe07e7f037&vjs=3"
23,"Data Scientist","Cognizant","Remote in Missouri","$80,000 - $150,000 a year","This position is also eligible for Cognizant’s discretionary annual incentive program and stock awards, based on performance and is subject to the terms of…",,"https://www.indeed.com/rc/clk?jk=7f6039ca6056e06f&bb=sxOnV6pfw48jKWs4G3DlteKoMmTLZaHd2eaEYz2Va2Tk1aCgGoOnvgwNsloADyEFTiixVnIx-2TGpMmmBuF8mvxWUMa7p6QQgiE24oVY6szGh0QB6QDGCV705X_7kMa4&xkcb=SoB867M39QgD5lw36J0MbzkdCdPP&fccid=2df6a1e69a70a1e7&vjs=3"
24,"Data Scientist","Adobe","Seattle, WA 98103 
(Fremont area)","$107,900 - $192,300 a year","Your primary focus will be to develop and maintain a robust data architecture to advance our reporting, analytics, and experimentation capabilities, and on a…",,"https://www.indeed.com/rc/clk?jk=de30cfd486351197&bb=sxOnV6pfw48jKWs4G3DltbY2B2v8_xDN5zuyHXE6edHbpXQjRFRsvFiCKnwTzgF5WtmFxarnlt8RWM1xBb0hABKs4pj4LqVDRNK8sFbWI61XRmbCa4FJGw%3D%3D&xkcb=SoCV67M39QgD5lw36J0DbzkdCdPP&fccid=f89deb5a97c7738a&vjs=3"
25,"Lead Data Scientist","Amazee Global Ventures Inc","Atlanta, GA",,"A solid understanding of machine learning and deep learning techniques, particularly those relevant to natural language processing tasks such as text extraction…","Employer
Active 3 days ago","https://www.indeed.com/rc/clk?jk=42b1e50a43ad32a8&bb=sxOnV6pfw48jKWs4G3DlteaE7Kde2jBJ1zFpFKk4MYgRQZ9cQRADgQvEXggA-zddXRt0cN6GJ299IrRT996igCHa_JZucCCg4yN3fhC20d_AvrsENWltLJ4LbP5CdMWY&xkcb=SoAh67M39QgD5lw36J0CbzkdCdPP&fccid=054e81f1e5e894b9&cmp=Amazee-Global-Ventures&ti=Lead+Data+Scientist&vjs=3"
26,"Associate Data Scientist","The Standard","Remote in Portland, OR",,"Experienced with foundational Data Science and AI concepts such as data manipulation, machine learning algorithms, and model analysis.",,"https://www.indeed.com/rc/clk?jk=0ac4e7a84594b55e&bb=sxOnV6pfw48jKWs4G3DltU3LrPk30zMFL6N6Cd7K23W2Q-G9Nz4Xe0iQbU6A60UphXbkbkvS8JPBG-gBJLLtefChYts3ba8wr9lQGoTsuHBu1GWEYhU_r4uxBmREyblu&xkcb=SoC867M39QgD5lw36J0BbzkdCdPP&fccid=987bded2d477dc2b&vjs=3"
27,"Data Scientist","General Motors","Warren, MI",,"As a data scientist, you will be responsible for working with a cross functional team of data scientists, developers and data engineers seeking to solve GM's…",,"https://www.indeed.com/rc/clk?jk=760ca80f13aa2b7a&bb=sxOnV6pfw48jKWs4G3DltR-xRjrogK7EA_n9ZkLCVZrGLgg_YScEkPW5fDKzcbRD8fNU-djzYlRDpzK0a1AxYXBPOY_JNMsyQWvkRiCJy5ZHBxflg37Yyg%3D%3D&xkcb=SoAI67M39QgD5lw36J0AbzkdCdPP&fccid=116680a29a847a70&vjs=3"
28,"Sr Data Scientist","HCSC","Hybrid work in Chicago, IL","$88,700 - $160,200 a year","Senior data scientists collect, integrate and analyze data from sources related to health status and outcomes for our members, characteristics of health care…",,"https://www.indeed.com/rc/clk?jk=6a49398e0a744901&bb=sxOnV6pfw48jKWs4G3DltQIB60x93aWoN_4M2lrgrLOR8pqKLVaecxfpd-lkx53WmsVY1J_hPny17CBnRGjtxmWUQ7ob_rtGcVoL05l_DcT1IkNnXdu_OQ%3D%3D&xkcb=SoCG67M39QgD5lw36J0HbzkdCdPP&fccid=f0982fe98d8ebba0&vjs=3"
29,"Associate Data Scientist, RWE Clinical Trials Remote","WALGREENS","Remote in Deerfield, IL 60015",,"Experience working on alternative data sources and alternative methods of clinical data collection, especially those enabled by technology platforms and/or…",,"https://www.indeed.com/rc/clk?jk=0535c1945f4f3dc7&bb=sxOnV6pfw48jKWs4G3DltSyhUYWtjTQN5_vxBJggvcOm2gWsI4ub_9WAmsKwgELrYEEDm5_G-z_QUVeDdFW04ROeLE9XkvAr36AWgUPS6tVRjby9wK77sA%3D%3D&xkcb=SoAy67M39QgD5lw36J0GbzkdCdPP&fccid=fefd75f5326e1589&vjs=3"
30,"Data Scientist","Magna International Inc.","Troy, MI 48083",,"Support development of data analytics projects, apply data science, analytics, and computer vision to solve challenges in the manufacturing environment.",,"https://www.indeed.com/rc/clk?jk=56856db72f096be6&bb=sxOnV6pfw48jKWs4G3DltVHXP9Fn_n-hkY7_FGKEc-J84-pWCuMUSHvd1U2FSOMMnoEmlS-jgiRGogPNM8fJQ1Yfl7EgCXZOOxLwKHdunvXYr3xokN_uk-lmRNtaGGsi&xkcb=SoCv67M39QgD5lw36J0FbzkdCdPP&fccid=254ad00cf333484f&vjs=3"
31,"Data Scientist","IT Consulting Services","Pennsylvania",,"Clean and manipulate raw data using statistical software for better and more efficient health data and aid innovations in the pharmaceutical industry.",,"https://www.indeed.com/rc/clk?jk=6b3a737907d0d935&bb=Ta2QNd0XKIzG4SAT2jzt0XLkMnUBrZY3erBj7z0DIX5g6h-5u23_iHuwuSwRXv_Vy5ShLgCk8Z-PZd60lwVO8vTx3X1MOfSdH7raRTKUZ898q9S4EzRX2Yz_48-Gw-VF&xkcb=SoA367M39QgDA8yRTx0LbzkdCdPP&fccid=bb0f3a7bae7542f8&vjs=3"
32,"Senior Data Scientist","The J. M. Smucker Company","Remote",,"Become a subject matter expert and trusted adviser in data science.
Build advanced quantitative / statistical / machine learning algorithms and perform analyses…",,"https://www.indeed.com/rc/clk?jk=4a678c8482f876d0&bb=Ta2QNd0XKIzG4SAT2jzt0UA1PFppLLvqNyY3YOJgyrA0bWnRknuOStURWtNJTclIUi_EpuBFZiQ-2DIKKi0TLaWA1WCVeWgaz6di8PLQ8QHmSY10YFEqlw%3D%3D&xkcb=SoCD67M39QgDA8yRTx0KbzkdCdPP&fccid=a21694cd29ba9002&vjs=3"
33,"Data Scientist - P3","Boston Scientific Corporation","Hybrid work in Marlborough, MA 01752",,"As a Data Scientist, you will work closely with senior data scientists and engineers to help leverage data analytics to drive insights, inform decision-making…",,"https://www.indeed.com/rc/clk?jk=cfc70407998f556c&bb=Ta2QNd0XKIzG4SAT2jzt0SlqnLtqNet1rAylI1BanOFxhdZwW82T1H0W1XXjuCFLe2PC-dDXy-3ow--a8HzpcYjSOAMRuRSHk55C-rdGvuKGBCIRVc7xeA%3D%3D&xkcb=SoAe67M39QgDA8yRTx0JbzkdCdPP&fccid=d13187a50c252e33&vjs=3"
