"Position","Job Title","Company","Location","Salary","Short Description","Posted At","Job link"
75,"Data Scientist - Fraud & Payments","FanDuel","Hybrid work in New York, NY","$150,000 - $190,000 a year","You will help manage the roadmap and evolve how FanDuel looks at the fraud and payments space using the advanced statistical and machine learning methodologies.",,"https://www.indeed.com/rc/clk?jk=ecbd4b84733c81a3&bb=CW9aUwiCnZ7udZzSRhxt6dqWhC37DFH8Uc_hmu4X2BD5R7cYv0StZzoiXAta-IdsD140NlKx9VTvQSWRFgP9oXlvgS-77blc8Q5n2Ly8aDINLCZxeJGkTefbQR58B2Hz&xkcb=SoAc67M39QgCQ_w25h0FbzkdCdPP&fccid=ada833cd00ae27d8&vjs=3"
76,"Data Scientist II","Cox Communications","Atlanta, GA 30328",,"The Data Scientist is required to have strong skills in advanced analytics algorithms, tools, and technologies to drive solution development at scale.",,"https://www.indeed.com/rc/clk?jk=a3c9aee78e5f126d&bb=kcAvg9n_ZQ7pWAtFFr7EecSwaGAvOwIK4cPtMr_8RuIP6O6aDBz99K_BHHCXioMTI4U_ULCllI2Woh8W2uaoT4uBX2X0AQjz_Nx1zx34jrGsC_2Gvsn4QJSqzfRU6JOL&xkcb=SoCX67M39QgCKuQ3xJ0LbzkdCdPP&fccid=c7e6b037b4d816c9&vjs=3"
77,"Data Scientist","WEX Inc.","Portland, ME 04101 
(Downtown area)",,"Familiarity with various machine learning algorithms and experience with deep learning libraries (PyTorch or TensorFlow).",,"https://www.indeed.com/rc/clk?jk=c8523cc51193abba&bb=kcAvg9n_ZQ7pWAtFFr7EeRJeLiLnY1n105frYS3Op7LQCfcfAKzyHbNNBctTkcSssFg7Uv-7NuH-pYAM93kOygFuboJlUh6-uYSQ6tqbteOr0ZiJLAcrtw%3D%3D&xkcb=SoAj67M39QgCKuQ3xJ0KbzkdCdPP&fccid=c9538b927313f8e0&vjs=3"
78,"Data Scientist","C-Star Solutions, LLC","Springfield, VA 22150",,"Experience in cloud environments with a blend of data science skills (remote sensing, physics, geospatial, imagery process, etc) and computer science…",,"https://www.indeed.com/rc/clk?jk=4306cba47f4cb74f&bb=kcAvg9n_ZQ7pWAtFFr7EeRJeLiLnY1n1Sf8I5wlY1mpNhHN93psJjBXTnluZGNE69M-rrIoRGDEmYXUgu8OqdevYMUYFDt2t0ao1KptmVqUOLrcmflqlyqxJ8tE-_7WM&xkcb=SoC-67M39QgCKuQ3xJ0JbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3"
79,"MIDDLE DATA SCIENTIST","LeverX Group","Georgia",,"Great understanding and proven experience with machine learning (both supervised and unsupervised) classical models and time series methodologies and experience…",,"https://www.indeed.com/rc/clk?jk=613a0301f1ed636f&bb=kcAvg9n_ZQ7pWAtFFr7EeTKjdSNB9timb7Cydz3Wt7PY3Mj9neQcLkJoSGhgoH87p9OZlPZyQmmQgfLWDrerKJkJVEESfVMk1cJViBG8uyYit2SsEyY8N4QNTMqhqv5X&xkcb=SoAK67M39QgCKuQ3xJ0IbzkdCdPP&fccid=59a8e318cb4dfe13&vjs=3"
80,"Associate Data Scientist","The Hartford","Hartford, CT",,"You will be part of a multi-disciplinary analytics team, collaborating closely with data engineering, performance analytics, business intelligence, and data…",,"https://www.indeed.com/rc/clk?jk=fd3421296ccca70f&bb=kcAvg9n_ZQ7pWAtFFr7EeRhlozVQM-LfZYBZTszqA6_gP9gtPPmh29UXGE65KtU3eoaef3tEc3LS4X_fp1XZBq3gSxxE6TdpMqb1AnBCN1XKQ8uP9qn1Hw%3D%3D&xkcb=SoCE67M39QgCKuQ3xJ0PbzkdCdPP&fccid=25d3835187829237&vjs=3"
81,"Senior Data Scientist","INISGHT2PROFIT","Beachwood, OH 44122",,"7+ years experience in a data science role applying approaches such as statistical models, gradient boosted trees, deep learning to business problems.",,"https://www.indeed.com/rc/clk?jk=42663e3f1bf8b1ed&bb=kcAvg9n_ZQ7pWAtFFr7EeVteSxBJi5eOaye4hG3WJ1B4L3U1O89R0FCF9UyNi2GjMzaqyprOsdFncnOIQ8WdHTuLbnu4y-FC3VDJN93-cDcIsYdyCC9RX3FuMtdze-ee&xkcb=SoAw67M39QgCKuQ3xJ0ObzkdCdPP&fccid=8b8065a340e78bbd&vjs=3"
82,"VDH Data Scientist (Locals only)","Raag Solutions","Richmond, VA",,"Familiarity with health/public health data.
The Data Scientist will collaborate with stakeholders, subject matter experts, and data stewards to ensure data…",,"https://www.indeed.com/rc/clk?jk=8f52af63485e3787&bb=kcAvg9n_ZQ7pWAtFFr7EeZQ766e3OSwP07qU5SQfIKn3HbNvJPwBupJcm190Gia_Dow3BCfHg9xBPnJQ_8pArepOpX940rrY0HXB--smd5BnadcNuJ5wjtOzi5vzFBrJ&xkcb=SoCt67M39QgCKuQ3xJ0NbzkdCdPP&fccid=8c9bc4383199682b&vjs=3"
83,"Google Contact Center AI Expert","Cloud destinations","Remote",,"Strong understanding of NLP and machine learning concepts.
This role requires a deep understanding of natural language processing, conversation design, and…",,"https://www.indeed.com/rc/clk?jk=eea5568e3a75dbc7&bb=kcAvg9n_ZQ7pWAtFFr7EeaLRWBT0yJ6Bau6tAxtMACu9MEMxlAS7x8iM3iW3oecO3ditVuQtSY9Pah8ZO3U9RFrPlOPItHUHZQ31bvkOBZe3sgvCQ6TabTG3thVav6rh&xkcb=SoAZ67M39QgCKuQ3xJ0MbzkdCdPP&fccid=b99fcc83a29d38c4&cmp=Cloud-Destinations&ti=Contact+Center+Engineer&vjs=3"
84,"Senior Data Scientist","Microsoft","Redmond, WA 98052 
(Overlake area)","$117,200 - $229,200 a year","You will work on all aspects of fraud detection - anomaly detection to find traces of new attacks, correlation of multiple data sources to define the perimeter…",,"https://www.indeed.com/rc/clk?jk=d597a15be258fa99&bb=kcAvg9n_ZQ7pWAtFFr7EeT4LSfYtF7jV8990ujtNm-8lbdqJy_uNyRuOiafSDo0jM5HgZ6s5M0jYN4ABUsQ8T3S5_0j1GEpLHGsqPRByvN4SNqTo_v2EOw%3D%3D&xkcb=SoDw67M39QgCKuQ3xJ0DbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3"
85,"Senior Data Scientist - ML","Twitch Interactive, Inc.","Remote in San Francisco, CA",,"Experience leading development and deployment of machine learning- and data-based forecasting solutions in production.",,"https://www.indeed.com/rc/clk?jk=a0b27e669255fea7&bb=kcAvg9n_ZQ7pWAtFFr7EeUz1f7mfdG1ZxnnKpEEdgUJwRdUztXZLU8m6w1zVKGDhbuQBK139Hp6_iLoJVeZ1w-llKbR8YUMdpd67tVnkVJR974jag1pt1g%3D%3D&xkcb=SoBE67M39QgCKuQ3xJ0CbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3"
86,"Manufacturing Data Scientist","TAMKO Building Products LLC","Dallas, TX 75216 
(South Dallas area)","$120,000 - $150,000 a year","Develop and deploy machine learning, predictive analytics, prescriptive analytics, and advanced analytics through the use of Digital Twins.",,"https://www.indeed.com/rc/clk?jk=b80260b361082b0f&bb=kcAvg9n_ZQ7pWAtFFr7EeVbJ6C-QgYH3OkfJGW--70YGCYC9WPv2b59Cpbiv59Mszff1ycT0muOlXeFpKgXgz4jQovgAWhOAqTmx1_6CgSDpfKE2eSjo-QDt_koCaMY9&xkcb=SoDZ67M39QgCKuQ3xJ0BbzkdCdPP&fccid=73185f6ad5b10e1b&vjs=3"
87,"Data Scientist - Demand Forecasting","Tiger Analytics","Remote in New Jersey",,"Strong proficiency in programming languages such as Python, Pyspark and SQL, and experience working with data analysis and machine learning libraries.",,"https://www.indeed.com/rc/clk?jk=d13dcddd0942cbfa&bb=kcAvg9n_ZQ7pWAtFFr7EedQm2Pg8Gq53guPE2IUFn7NbtUKsTb7vCs3ocwj3nf9nJzxdRKTdP4DPUQ7YEt4N8-ZIV68fNlIrDrePiDz4HE4W7jCYCF85bwLP4cIfchIw&xkcb=SoBt67M39QgCKuQ3xJ0AbzkdCdPP&fccid=cba01270e96bb012&vjs=3"
88,"Data Scientist","BAE Systems","Norfolk, VA 23523",,"Regular employees scheduled to work 20+ hours per week are offered: health, dental, and vision insurance; health savings accounts; a 401(k) savings plan;…",,"https://www.indeed.com/rc/clk?jk=1753dfb703f11b4f&bb=kcAvg9n_ZQ7pWAtFFr7EeVteSxBJi5eO0AXkUmO2d7875gTpcnHOfBRolLj9D1KWGCk941SiHw8CPB0INEYAhgTHw0Nk3RwmZmdeso-TDHyGPLuzZM5nSpK1h8Xgyo8n&xkcb=SoDj67M39QgCKuQ3xJ0HbzkdCdPP&fccid=200a825acadb9338&vjs=3"
89,"Senior Associate Data Scientist","Infosys","Raleigh, NC",,"You are expected to have prior experience in end-to-end implementation of RPA bots that includes identification of ‘right’ automation opportunities, designing …",,"https://www.indeed.com/rc/clk?jk=b22c7e0dd1c6dc5e&bb=kcAvg9n_ZQ7pWAtFFr7EeZR0h7v4wUQ00iudo7V54bj0gG2o-m09TuBgTXz0Nn4Jqb2wAod_dFFPY_45ISEAg07tIMofnVQGZjcth3KpZvlHLmpEpcndCbg0QIl_UOCM&xkcb=SoBX67M39QgCKuQ3xJ0GbzkdCdPP&fccid=c67533a523c83a4c&vjs=3"
90,"Data Scientist AVP","Morgan Stanley","New York, NY 10036 
(Midtown area)",,"Demonstrated breadth and depth in knowledge and applications of machine learning algorithms in classification, regressing, recommender systems, clustering, deep…",,"https://www.indeed.com/rc/clk?jk=aa2212da756bf578&bb=kcAvg9n_ZQ7pWAtFFr7EedDmLVVEQ5OP9DgeaJJoJeJpQLbj9oHnbfZfaKjRKgWCGt1Q50M5dAsTHIHlL6qdZTDfoA8sF1ROUkZ2PTIdDM1hkIQembCvUw%3D%3D&xkcb=SoDK67M39QgCKuQ3xJ0FbzkdCdPP&fccid=0c39fb2c91742dcf&vjs=3"
91,"Senior Associate Data Scientist","Infosys","Raleigh, NC",,"You are expected to have prior experience in end-to-end implementation of RPA bots that includes identification of ‘right’ automation opportunities, designing …",,"https://www.indeed.com/rc/clk?jk=b22c7e0dd1c6dc5e&bb=8571CQqf6CDWYgeoBGSNS7SKcpz1cnIhnE3pPRKw_T-QES1iAf1ECqZXVg52ygQZjlfOulSd5zpA2Pqce0JT4wisrYyKvEp4uLSgWRtMIpBK9bfXfK9pjNw1ryZIlWWv&xkcb=SoDx67M39QgBijAcpj0LbzkdCdPP&fccid=c67533a523c83a4c&vjs=3"
92,"Data Scientist AVP","Morgan Stanley","New York, NY 10036 
(Midtown area)",,"Demonstrated breadth and depth in knowledge and applications of machine learning algorithms in classification, regressing, recommender systems, clustering, deep…",,"https://www.indeed.com/rc/clk?jk=aa2212da756bf578&bb=8571CQqf6CDWYgeoBGSNS-oUEy2zVM5Cw_drkDDDLl91lXDvC1EOdNGxoU6Ujw7MZzJFzmGufKPFOfAeDlJhjBLerLWxm7csVMMHUDRb7rQtTA0kRBtPjQ%3D%3D&xkcb=SoBF67M39QgBijAcpj0KbzkdCdPP&fccid=0c39fb2c91742dcf&vjs=3"
93,"Data Scientist III","Tufts University","Hybrid work in Medford, MA 02155",,"A background in bioinformatics, computational biology, biostatistics, or related field with experience analyzing large genomic and transcriptomic (bulk and…",,"https://www.indeed.com/rc/clk?jk=bd262c4006f949e1&bb=8571CQqf6CDWYgeoBGSNSy8V8qA5ddDKP0DaUx1JZYPSQZNQhHvlD5cOzJJwzTJ6rDzPIpIPPZfUEDp7WXl6HxEaJ86e5vyZ6pEMqNrZS_M-OH1gC_77Nw%3D%3D&xkcb=SoDY67M39QgBijAcpj0JbzkdCdPP&fccid=6204ad93e6d7930f&vjs=3"
94,"CS - Data Scientist / Machine Learning Engineer Student","INTEL","Phoenix, AZ",,"Statistical analysis, machine learning, and deep learning methodologies understanding.
It consists of competitive pay, stock, bonuses, as well as, benefit…",,"https://www.indeed.com/rc/clk?jk=21f1e7cad347a225&bb=8571CQqf6CDWYgeoBGSNS_XyDhN0z3M1iwGQzADLxskNgXCrJdSWALNaKmIE8V1aVanPzmD3JcriiCDi_BrCwMdusVlVSBDzeXYL2xWJFxBgOLXCV3Ttew%3D%3D&xkcb=SoBs67M39QgBijAcpj0IbzkdCdPP&fccid=936367796261bd6e&vjs=3"
95,"Senior, Data Scientist","Intellisource Colorado LLC","Seattle, WA 98119 
(Uptown area)","$108,000 - $216,000 a year","Use machine learning, deep learning and data mining techniques to develop robust predictive models for anomaly detection such as E-Commerce return abuse,…",,"https://www.indeed.com/rc/clk?jk=9cb985cc672671cb&bb=8571CQqf6CDWYgeoBGSNS1a25m8ENvdIFVzfv3bnZNLmPCnva01MugLkODd7TrLMDRKrz0DCgeADw6HZtJiQvJ5P-aqpBDmCA7pqi-PFj-cHwqbP6WTzFwhgdtIPQGn-&xkcb=SoDi67M39QgBijAcpj0PbzkdCdPP&fccid=bb9c2686d851ace0&vjs=3"
96,"Data Scientist","IPG Health","New York, NY",,"Provide business insights through comprehensive analysis, integrate diverse data sources, apply advanced quantitative methods for customer segmentation,…",,"https://www.indeed.com/rc/clk?jk=f2bfe529319ee482&bb=8571CQqf6CDWYgeoBGSNS7e7qVSYoAcRXsm1j0d7IURXi4sC0FGZoIR9V_s95HWcaHzgLk2_zVdRRbp3QfcMaG_2e5moZ2V1bYvHQU-4TYSfu-SdGyRGvsk9ud4CIfLm&xkcb=SoBW67M39QgBijAcpj0ObzkdCdPP&fccid=374f886155c4b81b&vjs=3"
97,"Sr. Data Scientist, NLP (U.S.)","PulsePoint","Newark, NJ 07102 
(Central Business District area)",,"Our award-winning advertising platforms use machine learning and programmatic automation to seamlessly activate this data, making marketing, predictive…",,"https://www.indeed.com/rc/clk?jk=5dd27dda59451dfc&bb=8571CQqf6CDWYgeoBGSNS4BvhDjJhO_DHCF4VJukhnMrz3bWWMSTNhGbHQ_W7pw7bw9v-_L7vh_Ag8olN8X5uc1uYjoBziIWD_Gv3C2emjHCRyXejGw4yA%3D%3D&xkcb=SoDL67M39QgBijAcpj0NbzkdCdPP&fccid=93b6104db54859ec&vjs=3"
98,"Data Scientist, Data Strategy and Analytics","Abbott Laboratories","Alameda, CA","$144,100 - $288,300 a year","8+ years of relevant experience in the biological data analytics/science in a relevant industrial or academic setting.
10+ years of experience in analytics.",,"https://www.indeed.com/rc/clk?jk=2ea3b381a5a811a1&bb=8571CQqf6CDWYgeoBGSNSzsVn10RUVaA7mCbnmscxg6JPUvt8UV5wWE2KNWiGB0MVdxzXAeKS9dvvnj3BKDQpVqoqQesdzz0PXHhlI-DWWJs2oy_ltGD-w%3D%3D&xkcb=SoB_67M39QgBijAcpj0MbzkdCdPP&fccid=77426fa86bb11d7c&vjs=3"
99,"Sr. Data Scientist","Visa","Hybrid work in Highlands Ranch, CO",,"Extract and understand data to form an opinion on how to best help our clients and derive relevant insights.
Organize and manage multiple data science projects…",,"https://www.indeed.com/rc/clk?jk=e5dbf388e648511d&bb=8571CQqf6CDWYgeoBGSNS34_b7HaXYQM-s9Od97JRnuLSPvGDBQh2R1KTGPZRYiHVxaJvtqYgGYzl-ErZib36XDaGcLjiCNdPsg3pncmGjZ7D0PYA0NGuA%3D%3D&xkcb=SoCW67M39QgBijAcpj0DbzkdCdPP&fccid=a3f737e511d9fc8c&vjs=3"
100,"Artificial Intelligence Engineer","Amplify Education, Inc.","Remote",,"Cross-functional Collaboration: Work closely with diverse teams including learning scientists, data scientists, content experts, product managers, and engineers…",,"https://www.indeed.com/rc/clk?jk=cdda12d1da7546be&bb=8571CQqf6CDWYgeoBGSNS2eEAg_H-or_aYkGZXFNFUdLNdCxPFKOYHtOIsriI__XGQFe8atSpvGeo1dnUzcg5Vx55vWlFWiV5tV-Y9y-NbXIE_kBg_3ZhLtBjktawjS-&xkcb=SoAi67M39QgBijAcpj0CbzkdCdPP&fccid=a575b7c5c50b587a&vjs=3"
101,"Sr Data Scientist","Procore Technologies","Austin, TX",,"Coach and mentor junior data scientists on the team; lead code reviews, design, and best practices.
Experience with problem framing across multiple data science…",,"https://www.indeed.com/rc/clk?jk=577bb509d82093d7&bb=8571CQqf6CDWYgeoBGSNSwEOyBA9EAYQ77WgGNJi2MOq2s-iNfn0SQ4o6x3nrUhMFHgrH5keymxkMNTHxQUJiIboCXcDdMxuqz3dbYezqXhWgPLc1olXfOXKwcZyc4Xq&xkcb=SoC_67M39QgBijAcpj0BbzkdCdPP&fccid=bc675912b67fcb67&vjs=3"
102,"Data Scientist","Chenega Corporation","Remote in Virginia","$84,000 a year","Create and refine business analytics processes for a US Government organization responsible for operational data sets.
Visual Basic for Applications (VBA).",,"https://www.indeed.com/rc/clk?jk=8f9a872d931600a0&bb=8571CQqf6CDWYgeoBGSNS6UZIx2f1Q90mVR5J6_NOGvqcjGwV2_vPJrfzPwSCRYlQxfKZ0vCQUZ3O7MYkNR33-vpo1TwnKZitIhFNg1SopyT_mZdCNQVYQ%3D%3D&xkcb=SoAL67M39QgBijAcpj0AbzkdCdPP&fccid=ebdab10e41fbc599&vjs=3"
103,"Sr Data Scientist Enterprise","Academy Sports","Katy, TX 77449",,"Provide guidance and mentorship to junior data scientists, fostering a collaborative and innovative team environment.",,"https://www.indeed.com/rc/clk?jk=c10b21163675e43b&bb=8571CQqf6CDWYgeoBGSNS3n_sBD9GDMRhc0C06OkCgG8p1J85yjmvP9g-nR3WGCYkSqY-rr1U7-XB4jl4Gkrq5co8T0CHLVX0o5gUnPFJnyUO1q_j2h_NA%3D%3D&xkcb=SoCF67M39QgBijAcpj0HbzkdCdPP&fccid=a01997b9e64c27a7&vjs=3"
104,"Sr. Data Scientist","Schneider Electric","Remote in Louisville, KY",,"This person will help build industry-leading machine learning tools in the energy and sustainability management industry.",,"https://www.indeed.com/rc/clk?jk=38a3c0d298cf508d&bb=8571CQqf6CDWYgeoBGSNS7VY_aaimdeU9iB929dJMH2EgIOOLqmr7_gT_U0KYfzw3ICsgqkutPYrAxmkG0Wbh_7m40yBCZ2WPpW8rDyGuYlIK8lpT2iyEFqm064rpPBI&xkcb=SoAx67M39QgBijAcpj0GbzkdCdPP&fccid=8dc4399ddb463d4a&vjs=3"
105,"Data Scientist, Product Analytics (Early Career) - USDS","TikTok","Hybrid work in Mountain View, CA 94041",,"Deep dive into data sources, understand their limitations, and communicate complex data insights through exploratory analysis and research to suggest…",,"https://www.indeed.com/rc/clk?jk=5daa2c94e2f4baaa&bb=8571CQqf6CDWYgeoBGSNS8CAFIYsDpXoKEvbhf8JYKFhq1RFZ4w_Xkq9d4mwHH6dzU9ZlLbU46a7RCQg3JVgkA3IGJtp01426_bFeJqTUCeA2JlH_CTSn4PB8mT6NwuI&xkcb=SoCs67M39QgBijAcpj0FbzkdCdPP&fccid=caed318a9335aac0&vjs=3"
106,"Sr. Data Scientist","Schneider Electric","Remote in Louisville, KY",,"This person will help build industry-leading machine learning tools in the energy and sustainability management industry.",,"https://www.indeed.com/rc/clk?jk=38a3c0d298cf508d&bb=dSRgg_CvgP0E_8zdrIUu5nkH1H7PYmjY-bSyQzlMXM4Yl0E0AoJmABNK1T31m0WOmA9F-VPSrWrIDA9g6FShBtb_bXWjkMdwjdItkw6HORx3wDEiybRQiMjno1F59a4Z&xkcb=SoDC67M39QgBf9yRTx0LbzkdCdPP&fccid=8dc4399ddb463d4a&vjs=3"
107,"Data Scientist, Product Analytics (Early Career) - USDS","TikTok","Hybrid work in Mountain View, CA 94041",,"Deep dive into data sources, understand their limitations, and communicate complex data insights through exploratory analysis and research to suggest…",,"https://www.indeed.com/rc/clk?jk=5daa2c94e2f4baaa&bb=dSRgg_CvgP0E_8zdrIUu5lQfPGqDnFmMGVn1bRoHzYNkqlYmFYj4Zvk82CdWHPmERZruxnarJqUknifP-8nCAlDfvvunbeULnIllgQEyCI8QPGDijnyU_lgqdMyKZGPR&xkcb=SoB267M39QgBf9yRTx0KbzkdCdPP&fccid=caed318a9335aac0&vjs=3"
108,"Data Scientist (All Levels)","Noblis","McLean, VA","$174,100 - $260,625 a year","Identify, analyze, and interpret trends or patterns in complex data sets; Make predictions based on data trends.
Active TS/SCI with Polygraph.",,"https://www.indeed.com/rc/clk?jk=2705e983981f9898&bb=dSRgg_CvgP0E_8zdrIUu5m8DKNZyR95-QBYov-q4OHY4DNmo_itTfuGr-wzBbee-k2uAL8QIPm8KeEdJLCWhl27Ks9sb-4i_dok2Y3Jim2z8OQz6hiV5yA%3D%3D&xkcb=SoDr67M39QgBf9yRTx0JbzkdCdPP&fccid=05d6cb8b919478a9&vjs=3"
109,"Quantitative Analytics Professional - Data Scientist (Hybrid - 3 Days in Office)","Freddie Mac","McLean, VA 22102",,"Qualifying coursework may include—but is not limited to—data science, statistics, machine learning, optimization, numerical analysis, scientific programming,…",,"https://www.indeed.com/rc/clk?jk=d58d57019107a489&bb=dSRgg_CvgP0E_8zdrIUu5oW3B-VwLcyd-7hoMRp7ua3PemeD_geGytoLOso92_Nk4Bh8V2QX_zfjz1_AQOi87JEHYKwIX3HtvhzLy1CzYfA-V8mnxutQpw%3D%3D&xkcb=SoBf67M39QgBf9yRTx0IbzkdCdPP&fccid=6c9562e858513298&vjs=3"
110,"Senior Data Scientist, Lodging Pricing","Hopper","New York, NY","$110,000 - $300,000 a year","Your main responsibility will revolve around taking charge of our pricing analytics and prediction, ensuring data accessibility, and delivering insights that…",,"https://www.indeed.com/rc/clk?jk=9eb46982efb36e17&bb=dSRgg_CvgP0E_8zdrIUu5u-6RgT4rPNU2ozqKgcL1EhTQk84QQgoOq2wQj39iM5-5r9SXz3BtlcFnIo4j8Ot7nO_TubBs5FnMLKgezUK_FO7D5EfNlFFwVejWWmOjdRz&xkcb=SoDR67M39QgBf9yRTx0PbzkdCdPP&fccid=71eb96af97fae7e9&vjs=3"
111,"Data Scientist","The Swift Group","Reston, VA",,"Experience working with data sets including performing analytics that combine mission data sets to advance AI/ML services.
3+ years of relevant experience.",,"https://www.indeed.com/rc/clk?jk=17aa0c61d430b501&bb=dSRgg_CvgP0E_8zdrIUu5nV4N2RHrkOmuS8LoB8-he2ES4e5uF2QSdHmhY1MGSAm0Ut4G4M61JjGjg3yVwtBhzHN6Vgvv56kgLpfIIT_CnXOuOAwLr85QH2Anse57iUh&xkcb=SoBl67M39QgBf9yRTx0ObzkdCdPP&fccid=13ebb8d3d91f8d2a&vjs=3"
112,"DATA SCIENTIST","The State of Florida","Tallahassee, FL 32301","$58,000 - $65,000 a year","Knowledge of data modeling and data architecture; data mining and data cleansing techniques; data analysis and evaluation; mathematical and statistical skills…",,"https://www.indeed.com/rc/clk?jk=828b47af7db5dfda&bb=dSRgg_CvgP0E_8zdrIUu5jfyzZeG3z-IkUJomLTJcUCZJomKG5XjvTAvpJKeqvxzSyIoi3ZdfYD5-xzbv4Q953UTIVGOiiQ-Sn2ViKA1SZGZ6AhkTEBJMTHEs74XdGxN&xkcb=SoD467M39QgBf9yRTx0NbzkdCdPP&fccid=0a10ade3465aa10f&vjs=3"
113,"Data Scientist, Washington Migrant Asylum Seeker Support","International Rescue Committee","Seattle, WA 98148",,"All US employees are eligible for sick time, a 403b retirement savings plans: up to 4.5% immediately vested matching contribution, plus an 3-7% additional IRC…",,"https://www.indeed.com/rc/clk?jk=38abdaa77ae75f2f&bb=dSRgg_CvgP0E_8zdrIUu5k77dAgiMCCWNE_LeWtC1UN6wRW9uS62lzsyt-Tw9IZnxiCbCWLY0aeGrAlK5DubtAQ6m-S7J77J9GP8OgmxJwjMFqJkYifZBUZptsIJO_o9&xkcb=SoBM67M39QgBf9yRTx0MbzkdCdPP&fccid=78143039abd7ee91&vjs=3"
114,"Data Scientist II","Murphy USA","El Dorado, AR 71730",,"1 to 3 years of related experience in data mining and analytics, database structure and ETL, predictive modeling, machine learning, and statistical programming…",,"https://www.indeed.com/rc/clk?jk=a3b40b50e0d78c84&bb=dSRgg_CvgP0E_8zdrIUu5kcuvZnw7SXtGsGF45eWx4g6lyiKS3TRUvoORNiVlAiaB5-_mEiWRTrG089vKmaTKoJbSTrTMgZL4GH0xsJCi8r4oYYwxMnbcKxRuOspZHLU&xkcb=SoCl67M39QgBf9yRTx0DbzkdCdPP&fccid=750276b65ffe11e9&vjs=3"
115,"Senior Manager, Technical Program Manager - Machine Learning","Capital One","Hybrid work in Richmond, VA 23218",,"Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding…",,"https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNUFMD4PZ3AunGrII_Xzx8fFPwzICfP4XsLBCsvIc77viSG4vqzWF_uuTGGtHJIFcyXGiclj_EQ33ewnER4woBWI_C5beQqbD43vR5-S20tvXl-bRE1VfMMmArpDbwFUdAVUGZg0XRleenMl4KhdYw8X1ptOueTN8WdM7KsEYwR7axjOOPfgDfk-Y_xnbCeHf4AGmjCXHHwLqfooReGTgl_xaJjidVShIc6LpZYoE7ptTfd11XuWSMg4yrWYe3xglvP0K9Z6UxFmPxByPtJt-sKF1hQYqEEJI1nQlTAA6Yl3zu4vfRy3obKsVtuWCSayQYPpq9wWg1B3L-PTxNsy31G51gfyzDDShM7aPFg1q7B0BpArWknorBxc8q_xrQUSOOje9wThT37ndrYIXKC6Cc2x3a5HgM-xgJixsIx0faAgs-jEph363njPayZQKxMhgC1ByPohe7HbHtWswQ6bNAVVHX6m53mL1g0wJ2AdTcJLk1SvQwSqabTVTgGUJTldSZ3UsEHSFDN_X_3PZxXwHc-yIytm7E54AI5SW0WUmlNv05CM7g8d0bf4kmwNv3T-o8AQI9vDXMmBe1s_imHiNw25vtK_3r_Ll5Hr2dAJRyJ2mTa_H3FuvyUpRwhHs1aswXpidqvdlpMMEp1g-fKU_fgQQQbA1_lj7kAXrKl9DdGN3MBYPfHfBfl7fyD1I8SLJmu5l7uY65fZER6Cyno8VUnwoyyLH4e78MCJaqVZ3Wu2H3QMHVee4XU7kOGurMINY-0HlPg9CJseIo42Wmn2GeTfazwlg-w_xGTsc5gJW4CMq&xkcb=SoDl6_M39QgBf9yRTx0CbzkdCdPP&camk=4HOcmqOLYrAY9i7xfdbs4A==&p=9&fvj=0&vjs=3"
116,"Senior Data Scientist","Hibbett | City Gear","Birmingham, AL",,"Develop project plans, track progress, and communicate status updates to stakeholders to ensure successful project delivery.",,"https://www.indeed.com/rc/clk?jk=66da143a6d04e3ce&bb=dSRgg_CvgP0E_8zdrIUu5mDbCPsS-C5cMspAf1Y7bp6v4YNgFU3EU0XXwm7P23Lm-SXh146nFmIWcceoEnkQ6ytEbqf0aQ1pVU1Phl4LUJ8som5EdXjXsmC-vCZwnkRq&xkcb=SoCM67M39QgBf9yRTx0BbzkdCdPP&fccid=06bc3f2204ca8f12&vjs=3"
117,"Data Scientist","Microsoft","Redmond, WA 98052 
(Overlake area)",,"OR Bachelor's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, or related field AND 2+ years…",,"https://www.indeed.com/rc/clk?jk=909c65cc682ef81b&bb=dSRgg_CvgP0E_8zdrIUu5kCOyM6WYr8C2Cz0Ic3lCqIPzaS7oP7vQjq7W2zD7ZN20HlnCLkbNhIfFeQHSgRNGUhLPUjDHU3BiriHIC2vCgBdwHM6NKZYng%3D%3D&xkcb=SoA467M39QgBf9yRTx0AbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3"
